All Starting Pitchers 2017  Season MLB Standard Categories
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Ivan Nova SP  PIT "	187.0	31	17	2	11	14	0	0	131	36	203	4.14	1.28	329
""Mike Montgomery RP  CHC ""	130.7	14	6	0	7	8	3	0	100	55	103	3.38	1.21	331
"Andrew Cashner SP  TEX"	166.7	28	18	0	11	11	0	0	86	64	156	3.40	1.32	346
"Parker Bridwell SP  LAA "	121.0	20	13	0	10	3	0	0	73	30	115	3.65	1.20	349
"Sean Manaea SP  OAK"	158.7	29	14	0	12	10	0	0	140	55	167	4.37	1.40	352
"German Marquez SP  COL "	162.0	29	14	0	11	7	0	0	147	49	174	4.39	1.38	354
"Madison Bumgarner SP  SF"	111.0	17	12	1	4	9	0	0	101	20	101	3.32	1.09	361
"Rick Porcello SP  BOS"	203.3	33	19	2	11	17	0	0	181	48	236	4.65	1.40	368
"Dinelson Lamet SP  SD"	114.3	21	10	0	7	8	0	0	139	54	88	4.57	1.24	370
"Eduardo Rodriguez SP  BOS "	137.3	24	12	0	6	7	0	0	150	50	126	4.19	1.28	373
"Julio Teheran SP  ATL "	188.3	32	20	0	11	13	0	0	151	72	186	4.49	1.37	375
"JC Ramirez SP  LAA "	147.3	24	11	0	11	10	0	1	105	49	149	4.15	1.34	376
"Luis Castillo SP  CIN"	89.3	15	8	0	3	7	0	0	98	32	64	3.12	1.07	378
"Lance McCullers SP  HOU "	118.7	22	9	0	7	4	0	0	132	40	114	4.25	1.30	379
"R.A. Dickey SP  ATL"	190.0	31	18	0	10	10	0	0	136	67	193	4.26	1.37	392
"Marco Estrada SP  TOR"	186.0	33	17	0	10	9	0	0	176	71	186	4.98	1.38	403
"Danny Salazar SP  CLE "	103.0	19	7	0	5	6	0	0	145	44	94	4.28	1.34	404
"David Price SP  BOS"	74.7	11	7	0	6	3	0	0	76	24	65	3.38	1.19	409
"Kevin Gausman SP  BAL"	186.7	34	15	0	11	12	0	0	179	71	208	4.68	1.49	411
"Jake Faria SP  TB"	86.7	14	9	0	5	4	0	0	84	31	71	3.43	1.18	413
"Trevor Williams SP  PIT"	150.3	25	11	0	7	9	0	0	117	52	145	4.07	1.31	418
"Antonio Senzatela SP  COL"	134.7	20	7	0	10	5	0	0	102	47	128	4.68	1.30	419
"Jake Junis SP  KC"	98.3	16	7	0	9	3	0	0	80	25	101	4.30	1.28	422
"Erasmo Ramirez SP  SEA "	131.3	19	8	0	5	6	1	1	109	31	123	4.39	1.17	424
"Josh Tomlin SP  CLE"	141.0	26	9	1	10	9	0	0	109	14	166	4.98	1.28	426
"Michael Pineda SP  MIN "	96.3	17	9	0	8	4	0	0	92	21	103	4.39	1.29	427
"Luke Weaver SP  STL"	60.3	10	4	0	7	2	0	0	72	17	59	3.88	1.26	435
"Hyun-Jin Ryu SP  LAD "	126.7	24	6	0	5	9	1	0	116	45	128	3.77	1.37	443
"Ariel Miranda SP  SEA"	160.0	29	9	1	8	7	0	0	137	63	140	5.12	1.27	445
"Kyle Freeland SP  COL"	156.0	28	13	0	11	11	0	0	107	63	169	4.10	1.49	447
"Blake Snell SP  TB "	129.3	24	7	0	5	7	0	0	119	59	113	4.04	1.33	451
"Mike Foltynewicz SP  ATL "	154.0	28	15	0	10	13	0	0	143	59	169	4.79	1.48	459
"Chad Kuhl SP  PIT"	157.3	31	8	0	8	11	0	0	142	72	159	4.35	1.47	460
"Johnny Cueto SP  SF"	147.3	25	12	0	8	8	0	0	136	53	160	4.52	1.45	467
"Joe Musgrove RP  PIT "	109.3	15	3	0	7	8	2	2	98	28	117	4.77	1.33	469
"Brandon McCarthy SP  ATL "	92.7	16	8	0	6	4	0	0	72	27	89	3.98	1.25	471
"Jameson Taillon SP  PIT "	133.7	25	9	0	8	7	0	0	125	46	152	4.44	1.48	484
