All Third Basemen 2017  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Logan Forsythe 2B  LAD"	361	56	81	56	19	0	6	36	69	109	3	2	0.224	0.351	0.327	410
"Andrew Romine CF  SEA"	318	45	74	51	17	2	4	25	22	67	6	4	0.233	0.289	0.337	455
"Miguel Rojas SS  MIA "	272	37	79	60	16	2	1	26	27	32	2	1	0.290	0.361	0.375	458
"Johan Camargo 3B  ATL"	241	30	72	45	21	2	4	27	12	51	0	0	0.299	0.331	0.452	466
"Ehire Adrianza SS  MIN "	162	30	43	30	9	2	2	24	16	25	8	1	0.265	0.324	0.383	468
"T.J. Rivera 3B  NYM "	214	27	62	43	13	1	5	27	9	32	1	0	0.290	0.330	0.430	473
"Taylor Motter SS  SEA"	258	29	51	32	12	0	7	26	21	62	12	1	0.198	0.257	0.326	474
"Caleb Joseph C  BAL "	254	31	65	42	14	1	8	28	10	72	0	0	0.256	0.287	0.413	475
"Darwin Barney 2B  TEX "	336	34	78	58	14	0	6	25	18	64	7	2	0.232	0.275	0.327	481
"Eric Sogard 2B  MIL"	249	37	68	49	15	1	3	18	45	37	3	3	0.273	0.393	0.378	489
"Deven Marrero 3B  BOS "	171	32	36	23	9	0	4	27	12	61	5	0	0.210	0.260	0.333	517
"Pablo Sandoval 3B  SF"	259	27	57	37	11	0	9	32	16	53	0	1	0.220	0.265	0.367	529
"Kelby Tomlinson 3B  SF"	194	32	50	43	4	2	1	11	23	46	9	1	0.258	0.332	0.314	531
"Adam Rosales SS  PHI "	289	25	65	42	16	0	7	36	11	100	1	2	0.225	0.260	0.353	538
"Ryan Schimpf 3B  TB "	165	24	26	10	2	0	14	25	27	70	0	0	0.158	0.284	0.424	558
"Patrick Kivlehan RF  CIN"	178	23	37	22	5	1	9	26	22	61	1	2	0.208	0.304	0.399	559
"Tommy La Stella 2B  CHC "	125	18	36	23	8	0	5	22	20	18	0	0	0.288	0.389	0.472	571
"Cliff Pennington 2B  LAA"	194	23	49	40	6	0	3	21	16	58	3	1	0.253	0.306	0.330	582
"Danny Santana LF  ATL "	168	19	34	18	10	2	4	23	8	41	7	0	0.202	0.243	0.357	588
"Adonis Garcia 3B  ATL "	173	19	41	32	4	0	5	19	7	23	4	0	0.237	0.273	0.347	590
"Greg Garcia 3B  STL"	241	27	61	48	9	2	2	20	37	64	2	1	0.253	0.365	0.332	596
"Trevor Plouffe 3B  TB"	283	31	56	40	7	0	9	19	28	88	1	2	0.198	0.272	0.318	613
"Jeimer Candelario 3B  DET"	127	18	36	24	9	0	3	16	13	30	0	0	0.283	0.359	0.425	641
"Yandy Diaz 3B  CLE "	156	25	41	32	8	1	0	13	21	35	2	0	0.263	0.352	0.327	663
"Kaleb Cowart 2B  LAA"	102	18	23	14	5	1	3	11	10	28	4	2	0.226	0.313	0.382	672
"Erik Gonzalez 2B  CLE"	110	18	28	18	6	0	4	11	3	37	1	2	0.255	0.272	0.418	674
"Rio Ruiz 3B  ATL"	150	22	29	20	5	0	4	19	19	41	1	0	0.193	0.283	0.307	694
"Daniel Robertson 2B  TB"	218	22	45	31	7	2	5	19	29	73	1	1	0.206	0.308	0.326	697
"Max Moroff 2B  PIT"	120	19	24	16	4	1	3	21	16	43	0	1	0.200	0.302	0.325	699
"Drew Robinson 3B  TEX"	107	11	24	13	5	0	6	13	14	42	0	2	0.224	0.314	0.439	720
"Dixon Machado SS  DET"	166	17	43	36	5	1	1	11	10	32	1	0	0.259	0.302	0.319	732
"Jace Peterson LF  NYY "	186	15	40	27	9	2	2	17	27	48	3	0	0.215	0.318	0.317	743
"Martin Prado 3B  MIA "	140	13	35	24	9	0	2	12	6	22	0	0	0.250	0.279	0.357	778
"Stephen Drew SS  WAS"	95	9	24	16	7	0	1	17	8	21	0	0	0.253	0.302	0.358	780
"Christian Villanueva 3B  SD"	32	5	11	6	1	0	4	7	0	10	0	0	0.344	0.344	0.750	786
"Cheslor Cuthbert 3B  KC"	143	10	33	24	7	0	2	18	9	39	0	0	0.231	0.275	0.322	792
"J.D. Davis 3B  HOU"	62	8	14	6	4	0	4	7	4	20	1	1	0.226	0.279	0.484	802
"Sean Rodriguez RF  PIT"	132	18	22	15	2	0	5	8	16	57	1	0	0.167	0.276	0.295	817
"Giovanny Urshela 3B  CLE"	156	14	35	27	7	0	1	15	8	22	0	0	0.224	0.262	0.288	821
"Jefry Marte 1B  LAA "	127	10	22	13	5	0	4	14	13	34	1	0	0.173	0.269	0.307	839
"Christian Arroyo 3B  TB "	125	9	24	16	5	0	3	14	8	32	1	2	0.192	0.244	0.304	840
"Andres Blanco 3B  SF "	130	10	25	18	4	0	3	13	12	34	1	0	0.192	0.257	0.292	844
"Brock Holt 2B  BOS "	140	20	28	22	6	0	0	7	19	34	2	1	0.200	0.305	0.243	847
"Brian Anderson 3B  MIA"	84	11	22	14	7	1	0	8	10	28	0	0	0.262	0.337	0.369	849
"Adrian Sanchez 2B  WAS"	71	6	19	12	7	0	0	11	1	25	0	2	0.268	0.288	0.366	876
"Ruben Tejada SS  BAL "	113	17	26	20	6	0	0	5	8	15	0	0	0.230	0.293	0.283	880
"Josh Rutledge 3B  SF "	107	10	24	21	2	1	0	9	9	31	1	0	0.224	0.297	0.262	903
"Matt Reynolds 3B  NYM "	113	12	26	22	1	2	1	5	14	37	0	1	0.230	0.326	0.301	921
"Tyler Saladino 2B  CHW"	253	23	45	34	9	2	0	10	23	67	5	4	0.178	0.255	0.229	929
"Ramon Torres 2B  KC"	74	9	18	15	3	0	0	4	4	12	1	0	0.243	0.291	0.284	932
"Tzu-Wei Lin 2B  BOS"	56	7	15	13	0	2	0	2	9	17	1	1	0.268	0.369	0.339	954
"Mike Aviles SS  MIA"	86	5	20	17	2	0	1	8	6	15	0	0	0.233	0.298	0.291	961
"J.P. Crawford 3B  PHI "	70	8	15	10	4	1	0	6	16	22	1	0	0.214	0.356	0.300	962
"Marco Hernandez 3B  BOS"	58	7	16	13	3	0	0	2	1	15	0	1	0.276	0.300	0.328	979
"Miguel Andujar 3B  NYY "	7	0	4	2	2	0	0	4	1	0	1	0	0.571	0.625	0.857	991
"Conor Gillaspie 3B  SF"	80	8	13	7	4	0	2	8	5	10	0	0	0.163	0.218	0.287	994
"Chris Coghlan 3B  TOR"	75	7	15	12	2	0	1	5	9	22	0	0	0.200	0.299	0.267	1022
"Phillip Evans 3B  NYM"	33	4	10	8	2	0	0	1	4	8	0	0	0.303	0.395	0.364	1029
"Ryan Flaherty 2B  PHI "	38	5	8	7	1	0	0	4	4	10	0	0	0.210	0.302	0.237	1046
"Will Middlebrooks 3B  PHI "	38	5	8	4	2	2	0	3	1	14	0	0	0.210	0.231	0.368	1065
"Ryder Jones 1B  SF"	150	12	26	17	5	2	2	5	10	52	1	0	0.173	0.244	0.273	1074
"Orlando Calixte LF  SF"	49	5	7	6	1	0	0	6	3	16	1	0	0.143	0.185	0.163	1078
"Kyle Farmer 3B  LAD"	20	1	6	5	1	0	0	2	0	3	0	0	0.300	0.300	0.350	1088
"Aaron Hill 3B  SF"	68	7	9	5	2	1	1	7	11	13	0	0	0.132	0.250	0.235	1104
"Rob Segedin 1B  LAD"	20	3	4	2	2	0	0	1	0	7	0	0	0.200	0.200	0.300	1118
"Alex Mejia 3B  STL"	46	6	5	4	0	0	1	3	2	13	0	0	0.109	0.146	0.174	1229
"Jae-Gyun Hwang 3B  SF"	52	2	8	6	1	0	1	5	5	15	0	0	0.154	0.228	0.231	1233
"Pete Kozma SS  DET "	45	6	5	4	0	0	1	2	3	20	0	1	0.111	0.200	0.178	1242
"Dawel Lugo 3B  DET"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1250
"Jung Ho Kang 3B  PIT "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1250
"Hanser Alberto 3B  TEX "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1250
"Matt Duffy 3B  TB "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1250
"David Wright 3B  NYM "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1250
"Yadiel Rivera 3B  MIA"	2	0	0	0	0	0	0	0	0	1	0	0	0.000	0.000	0.000	1324
"Jhonny Peralta 3B  BOS"	54	3	11	11	0	0	0	0	4	13	0	0	0.204	0.259	0.204	1345
"Steve Selsky 3B  BOS "	9	0	1	0	1	0	0	0	0	5	0	0	0.111	0.111	0.222	1348
"Michael Martinez 2B  CLE "	37	2	6	5	1	0	0	0	5	15	0	1	0.162	0.262	0.189	1368
"Christian Colon 2B  ATL "	50	4	8	7	1	0	0	0	5	10	0	0	0.160	0.236	0.180	1370
"Jeff McNeil 3B  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Scott Sizemore 3B  WAS "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Elehuris Montero 3B  STL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Mitch Nay 3B  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Andy Burns 3B  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jay Baum 3B  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Barrett Kleinknecht 3B  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Joaquin Arias 3B  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jordan Edgerton 3B  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Marty Herum 3B  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Edgar Corcino 3B  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Erlin Cerda 3B  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Duanel Jones 3B  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Brett Wallace 3B  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
