Team Totals   Projections Standard Categories
Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	
Crime Pays	7789	1144	2118	1323	415	54	326	1121	767	1945	130	46	0.272	0.342	0.465
Disco Bush Horticulturists	5431	753	1393	858	293	26	216	762	593	1352	70	31	0.256	0.335	0.439
EVIL EMPIRE 	7932	1188	2150	1286	446	51	367	1209	893	1872	131	40	0.271	0.348	0.479
Floaters and Sinkers	6392	971	1663	989	337	37	300	957	653	1679	129	35	0.260	0.333	0.465
Murderers' Row	7348	1110	1926	1128	389	48	361	1083	794	1897	90	31	0.262	0.339	0.476
Old Dirty Bugg	6688	919	1834	1150	351	52	281	1025	589	1437	86	35	0.274	0.337	0.468
Orange-a-Tangs	7740	1093	2111	1330	397	40	344	1181	732	1849	129	43	0.273	0.339	0.468
Shits & Giggles	6205	979	1741	1008	361	40	332	1030	562	1429	100	35	0.281	0.346	0.512
Sofa Kings	7316	1162	2031	1206	394	65	366	1097	679	1854	211	57	0.278	0.343	0.499
Tittys Warriors	4065	679	1207	730	254	37	186	605	368	899	104	34	0.297	0.359	0.515
User Abuser	6590	1026	1821	1098	364	47	312	966	748	1610	117	34	0.276	0.355	0.488
Whiteness	9050	1235	2443	1497	503	43	400	1333	736	2174	129	36	0.270	0.329	0.468
Team Totals   Projections Standard Categories
Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	
Crime Pays	1444.0	231	131	6	99	79	86	17	1347	437	1454	3.80	1.31
Disco Bush Horticulturists	1032.0	147	81	1	68	57	74	16	1081	363	1000	4.01	1.32
EVIL EMPIRE 	1334.0	260	145	2	116	78	0	0	1423	445	1266	3.91	1.28
Floaters and Sinkers	1401.7	207	111	7	100	71	65	17	1358	455	1313	3.59	1.26
Murderers' Row	1185.7	184	98	3	85	51	95	16	1250	389	1058	3.29	1.22
Old Dirty Bugg	1358.3	204	110	6	87	68	85	12	1303	429	1308	3.85	1.28
Orange-a-Tangs	1335.7	196	104	2	91	68	47	5	1329	458	1230	3.73	1.26
Shits & Giggles	1465.3	249	144	4	95	77	61	11	1478	482	1354	3.64	1.25
Sofa Kings	1094.0	178	97	2	80	57	47	7	1101	384	985	3.53	1.25
Tittys Warriors	1055.0	177	99	2	75	54	34	10	1014	372	1052	3.91	1.35
User Abuser	1203.7	198	108	4	79	71	46	6	1092	395	1151	3.90	1.28
Whiteness	1152.7	170	87	4	74	58	75	11	1172	375	1109	3.91	1.29
