All Second Basemen 2017  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Breyvic Valera 2B  STL"	10	0	1	1	0	0	0	0	1	0	0	0	0.100	0.182	0.100	1355
"Steve Lombardozzi 2B  OAK "	8	0	0	0	0	0	0	0	0	2	0	0	0.000	0.000	0.000	1363
"Phil Gosselin 2B  CIN "	48	3	7	5	2	0	0	2	2	12	0	1	0.146	0.180	0.188	1367
"Michael Martinez 2B  CLE "	37	2	6	5	1	0	0	0	5	15	0	1	0.162	0.262	0.189	1368
"Christian Colon 2B  ATL "	50	4	8	7	1	0	0	0	5	10	0	0	0.160	0.236	0.180	1370
"Niko Goodrum 2B  DET"	17	1	1	1	0	0	0	0	1	10	0	0	0.059	0.111	0.059	1379
"Mike Freeman SS  CHC "	60	6	6	3	2	0	1	1	6	19	0	0	0.100	0.182	0.183	1386
"Max Schrock 2B  OAK "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"L.J. Mazzilli 2B  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jeremias Pineda 2B  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Kole Enright 2B  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Corey Jones 2B  DET"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"D.J. Burt 2B  KC "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Cavan Biggio 2B  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"J.C. Rodriguez 2B  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Shed Long 2B  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Hector Gomez 2B  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Luke Dykstra 2B  STL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jamie Westbrook 2B  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Emmanuel Burriss 2B  WAS "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Carlos Garcia 2B  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ed Lucas 2B  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Harold Castro 2B  DET"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Isiah Kiner-Falefa 2B  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
