All Relief Pitchers 2017  Season MLB Standard Categories
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Trevor Williams SP  PIT"	150.3	25	11	0	7	9	0	0	117	52	145	4.07	1.31	418
"Antonio Senzatela SP  COL"	134.7	20	7	0	10	5	0	0	102	47	128	4.68	1.30	419
"Tommy Hunter RP  PHI "	58.7	0	0	0	3	5	1	0	64	14	43	2.61	0.97	420
"Ryan Buchter RP  OAK "	65.3	0	0	0	4	3	1	2	65	26	44	2.89	1.07	421
"Santiago Casilla RP  OAK"	59.0	0	0	0	4	5	16	7	57	22	58	4.27	1.36	423
"Erasmo Ramirez SP  SEA "	131.3	19	8	0	5	6	1	1	109	31	123	4.39	1.17	424
"Cory Gearrin RP  SF "	68.0	0	0	0	4	3	0	0	64	35	50	1.98	1.25	430
"Kyle Barraclough RP  MIA"	66.0	0	0	0	6	2	1	4	76	38	53	3.00	1.38	431
"Pedro Strop RP  CHC"	60.3	0	0	0	5	4	0	4	65	26	45	2.83	1.18	432
"Kirby Yates RP  SD "	56.7	0	0	0	4	5	1	3	88	19	44	3.97	1.11	433
"Jose Torres RP  SD"	68.3	0	0	0	7	4	1	1	63	16	63	4.21	1.16	437
"Keone Kela RP  TEX "	38.7	0	0	0	4	1	2	1	51	17	18	2.79	0.91	439
"Jerry Blevins RP  NYM"	49.0	0	0	0	6	0	1	7	69	24	43	2.94	1.37	440
"Michael Lorenzen RP  CIN "	83.0	0	0	0	8	4	2	5	80	34	78	4.45	1.35	444
"Josh Hader RP  MIL "	47.7	0	0	0	2	3	0	1	68	22	25	2.08	0.99	446
"Kyle Freeland SP  COL"	156.0	28	13	0	11	11	0	0	107	63	169	4.10	1.49	447
"Bryan Shaw RP  COL "	76.7	0	0	0	4	6	3	3	73	22	71	3.52	1.21	448
"Joe Smith RP  HOU "	54.0	0	0	0	3	0	1	1	71	10	46	3.33	1.04	449
"Steve Cishek RP  CHC "	44.7	0	0	0	3	2	1	3	41	14	26	2.02	0.90	452
"Cam Bedrosian RP  LAA "	44.7	0	0	0	6	5	6	5	53	17	41	4.43	1.30	453
"Taylor Rogers RP  MIN"	55.7	0	0	0	7	3	0	4	49	21	52	3.07	1.31	454
"Seung-Hwan Oh RP  STL "	59.3	0	0	0	1	6	20	4	54	15	68	4.10	1.40	457
"Keynan Middleton RP  LAA"	58.3	0	0	0	6	1	3	2	63	18	60	3.86	1.34	461
"Darren O'Day RP  BAL "	60.3	0	0	0	2	3	2	2	76	24	41	3.43	1.08	462
"Will Harris RP  HOU"	45.3	0	0	0	3	2	2	2	52	7	37	2.98	0.97	464
"Joe Musgrove RP  PIT "	109.3	15	3	0	7	8	2	2	98	28	117	4.77	1.33	469
"David Hernandez RP  CIN "	55.0	0	0	0	3	1	2	2	52	9	48	3.11	1.04	470
"Jared Hughes RP  CIN "	59.7	0	0	0	5	3	1	3	48	24	49	3.02	1.22	476
"Tony Zych RP  SEA "	40.7	0	0	0	6	3	1	1	35	21	30	2.66	1.25	482
"Ross Stripling RP  LAD"	74.3	2	0	0	3	5	2	3	74	19	69	3.75	1.18	483
"Joe Kelly RP  BOS "	58.0	0	0	0	4	1	0	4	52	27	42	2.79	1.19	485
"Matt Belisle RP  MIN"	60.3	0	0	0	2	2	9	5	54	22	48	4.03	1.16	486
"Luis Garcia RP  PHI"	71.3	0	0	0	2	5	2	5	60	26	61	2.65	1.22	490
"Danny Barnes RP  TOR"	66.0	0	0	0	3	6	0	4	62	24	48	3.55	1.09	491
"Craig Stammen RP  SD "	80.3	0	0	0	2	3	0	2	74	28	68	3.14	1.20	493
"Zach McAllister RP  CLE "	62.0	0	0	0	2	2	0	0	66	21	53	2.61	1.19	496
"Nick Goody RP  CLE"	54.7	0	0	0	1	2	0	0	72	20	39	2.80	1.08	498
"Matt Bush RP  TEX "	52.3	0	0	0	3	4	10	5	58	19	57	3.78	1.45	499
"Emilio Pagan RP  OAK"	50.3	0	0	0	2	3	0	1	56	8	39	3.22	0.93	500
"Joakim Soria RP  CHW "	56.0	0	0	0	4	3	1	7	64	20	49	3.70	1.23	503
"Liam Hendriks RP  OAK "	64.0	0	0	0	4	2	1	3	78	23	57	4.22	1.25	504
"Jacob Barnes RP  MIL"	72.0	0	0	0	3	4	2	5	80	33	57	4.00	1.25	508
"Zach Britton RP  BAL "	37.3	0	0	0	2	1	15	2	29	18	39	2.89	1.53	510
"Dustin McGowan RP  MIA"	77.7	0	0	0	8	2	0	3	64	27	77	4.75	1.34	513
"Sergio Romo RP  TB "	55.7	0	0	0	3	1	0	1	59	19	42	3.56	1.10	518
"Tyler Chatwood SP  CHC "	147.7	25	9	1	8	15	1	0	120	77	136	4.69	1.44	519
"Hunter Strickland RP  SF "	61.3	0	0	0	4	3	1	2	58	29	59	2.64	1.43	523
"Juan Minaya RP  CHW"	43.7	0	0	0	3	2	9	1	51	20	38	4.53	1.33	524
"Trevor Hildenberger RP  MIN"	42.0	0	0	0	3	3	1	2	44	6	38	3.21	1.05	530
"Hector Rondon RP  HOU "	57.3	0	0	0	4	1	0	3	69	20	50	4.24	1.22	533
"Hansel Robles RP  NYM "	56.7	0	0	0	7	5	0	2	60	29	47	4.92	1.34	535
"Nick Vincent RP  SEA "	64.7	0	0	0	3	3	0	2	50	13	62	3.20	1.16	537
"Sam Freeman RP  ATL "	60.0	0	0	0	2	0	0	3	59	27	48	2.55	1.25	539
"John Brebbia RP  STL"	51.7	0	0	0	0	0	0	1	51	11	37	2.44	0.93	541
"Pedro Baez RP  LAD "	64.0	0	0	0	3	6	0	3	64	29	56	2.95	1.33	543
"Brandon Maurer RP  KC"	59.3	0	0	0	3	6	22	4	59	19	73	6.52	1.55	544
"Wade LeBlanc RP  NYY "	68.0	0	0	0	5	2	1	2	54	17	64	4.50	1.19	546
"Sam Tuivailala RP  STL"	42.3	0	0	0	3	3	0	0	34	11	35	2.55	1.09	553
"David Phelps RP  SEA "	55.7	0	0	0	4	5	0	8	62	26	51	3.40	1.38	554
"Brent Suter SP  MIL "	81.7	14	4	0	3	2	0	0	64	22	83	3.42	1.29	557
"Koji Uehara RP  CHC "	43.0	0	0	0	3	4	2	3	50	12	38	3.98	1.16	560
"Chasen Shreve RP  NYY "	45.3	0	0	0	4	1	0	1	58	25	35	3.77	1.32	561
"Brad Boxberger RP  ARI "	29.3	0	0	0	4	4	0	2	40	11	23	3.38	1.16	562
"Wandy Peralta RP  CIN"	64.7	0	0	0	3	4	0	2	57	24	53	3.76	1.19	563
"Brian Duensing RP  CHC "	62.3	0	0	0	1	1	0	1	61	18	58	2.74	1.22	564
"Jose Ramirez RP  ATL"	62.0	0	0	0	2	3	0	5	56	29	45	3.19	1.19	565
"George Kontos RP  PIT "	66.3	0	0	0	1	6	1	6	70	20	61	3.39	1.22	566
"Dan Otero RP  CLE"	60.0	0	0	0	3	0	0	0	38	9	63	2.85	1.20	567
"Richard Bleier RP  BAL "	63.3	0	0	0	2	1	0	0	26	13	62	1.99	1.18	568
"James Pazos RP  SEA"	53.7	0	0	0	4	5	0	3	65	24	51	3.86	1.40	569
"Brett Cecil RP  STL"	67.3	0	0	0	2	4	1	6	66	16	67	3.88	1.23	576
"Tyler Clippard RP  HOU"	60.3	0	0	0	2	8	5	6	72	31	47	4.77	1.29	577
"Matt Bowman RP  STL"	58.7	0	0	0	3	6	2	3	46	18	52	3.99	1.19	578
"Jake McGee RP  COL "	57.3	0	0	0	0	2	3	3	58	16	47	3.61	1.10	580
"Gregory Infante RP  CHW"	54.7	0	0	0	2	1	0	1	49	20	45	3.13	1.19	583
"Adam Morgan RP  PHI"	54.7	0	0	0	3	3	0	1	63	18	51	4.12	1.26	584
"Mike Dunn RP  COL"	50.3	0	0	0	5	1	0	1	57	28	43	4.47	1.41	589
"Randall Delgado RP  ARI "	62.7	5	0	0	1	2	1	1	60	14	60	3.59	1.18	591
"A.J. Schugel RP  PIT"	32.0	0	0	0	4	0	0	1	27	14	31	1.97	1.41	595
"Enny Romero RP  WAS"	55.7	0	0	0	2	4	2	2	65	23	55	3.56	1.40	598
"Jesse Chavez SP  LAA"	138.0	21	7	0	7	11	0	1	119	45	148	5.35	1.40	600
"Chase Whitley RP  ATL"	57.3	0	0	0	2	1	2	1	43	16	48	4.08	1.12	602
"Dan Jennings RP  TB "	62.7	0	0	0	3	1	0	2	51	31	53	3.45	1.34	607
"Drew Steckenrider RP  MIA"	34.7	0	0	0	1	1	1	0	54	18	30	2.34	1.38	609
"Miguel Castro RP  BAL "	66.3	1	0	0	3	3	0	0	38	28	53	3.53	1.22	611
"Jose Leclerc RP  TEX"	45.7	0	0	0	2	3	2	1	60	40	23	3.94	1.38	615
"Phil Maton RP  SD"	43.0	0	0	0	3	2	1	0	46	14	41	4.19	1.28	618
"Luis Avilan RP  CHW "	46.0	0	0	0	2	3	0	2	52	22	42	2.94	1.39	622
"Tyler Olson RP  CLE"	20.0	0	0	0	1	0	1	0	18	6	13	0.00	0.95	626
"Mark Melancon RP  SF "	30.0	0	0	0	1	2	11	5	29	6	37	4.50	1.43	629
"Robby Scott RP  BOS "	35.7	0	0	0	2	1	0	2	31	13	22	3.79	0.98	634
"Danny Farquhar RP  CHW"	49.3	0	0	0	4	2	0	2	45	28	39	4.20	1.36	635
"Fernando Abad RP  BOS "	43.7	0	0	0	2	1	1	1	37	14	40	3.30	1.24	636
"Ryan Pressly RP  MIN "	61.3	0	0	0	2	3	0	1	61	19	52	4.70	1.16	637
"Alan Busenitz RP  MIN"	31.7	0	0	0	1	1	0	1	23	9	22	1.99	0.98	640
"Dillon Gee RP  MIN "	49.3	4	1	0	3	2	1	0	41	15	54	3.47	1.40	646
"Heath Hembree RP  BOS"	62.0	0	0	0	2	3	0	3	70	18	72	3.63	1.45	649
"Ty Blach SP  SF"	163.7	24	13	1	8	12	0	0	73	43	179	4.78	1.36	651
"Hector Velazquez RP  BOS"	24.7	3	0	0	3	1	0	0	19	7	21	2.92	1.14	655
"Luke Gregerson RP  STL "	61.0	0	0	0	2	3	1	3	70	20	62	4.57	1.34	659
"Jimmie Sherfy RP  ARI"	10.7	0	0	0	2	0	1	0	9	2	5	0.00	0.66	661
"Peter Moylan RP  KC"	59.3	0	0	0	0	0	0	1	46	25	40	3.49	1.10	662
"Andrew Chafin RP  ARI "	51.3	0	0	0	1	0	0	0	61	21	48	3.51	1.34	664
"Robert Stephenson RP  CIN"	84.7	11	4	0	5	6	1	0	86	53	81	4.68	1.58	666
"Jorge De La Rosa RP  ARI"	51.3	0	0	0	3	1	0	1	45	21	46	4.21	1.31	668
"Austin Pruitt RP  TB"	83.0	8	4	0	7	5	1	1	66	22	103	5.31	1.51	671
"Edubray Ramos RP  PHI"	57.7	0	0	0	2	7	0	3	75	28	57	4.21	1.47	675
"Jeurys Familia RP  NYM "	24.7	0	0	0	2	2	6	1	25	15	21	4.38	1.46	676
"Mark Leiter RP  PHI"	90.7	11	4	0	3	6	0	0	84	31	90	4.96	1.33	677
"Drew Storen RP  CIN"	54.7	0	0	0	4	2	1	2	48	23	57	4.45	1.46	679
"Buddy Baumann RP  SD"	17.7	0	0	0	2	1	0	1	21	7	11	2.55	1.02	681
"Francis Martes RP  HOU"	54.3	4	0	0	5	2	0	1	69	31	51	5.80	1.51	686
"Brandon Workman RP  BOS "	39.7	0	0	0	1	1	0	1	37	11	37	3.18	1.21	687
"Derek Law RP  SF"	37.3	0	0	0	4	1	4	2	35	14	45	5.06	1.58	689
"James Hoyt RP  HOU"	49.3	0	0	0	1	0	0	0	66	14	51	4.38	1.32	690
"Daniel Coulombe RP  OAK"	51.7	0	0	0	2	2	0	1	39	22	46	3.48	1.32	691
"Chris Hatcher RP  OAK "	59.7	0	0	0	1	2	1	4	63	21	58	4.22	1.32	693
"Neftali Feliz RP  ARI "	46.0	0	0	0	2	5	8	1	37	23	40	5.48	1.37	695
"Austin Bibens-Dirkx RP  TEX "	69.3	6	2	0	5	2	0	0	38	20	74	4.67	1.36	698
"Michael Feliz RP  PIT"	48.0	0	0	0	4	2	0	2	70	22	53	5.62	1.56	700
"Aaron Loup RP  TOR "	57.7	0	0	0	2	3	0	0	64	29	59	3.75	1.53	701
