All Catchers 2017  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Erik Kratz C  NYY "	2	0	2	1	1	0	0	2	0	0	0	0	1.000	1.000	1.500	1085
"Tomas Nido C  NYM"	10	0	3	2	1	0	0	3	0	2	0	0	0.300	0.300	0.400	1099
"Mitch Garver C  MIN"	46	5	9	5	1	3	0	3	6	15	0	0	0.196	0.288	0.348	1103
"David Freitas C  SEA"	17	2	4	2	2	0	0	2	0	4	0	0	0.235	0.235	0.353	1105
"Rocky Gale C  SD"	10	1	1	0	0	0	1	2	0	2	0	0	0.100	0.100	0.400	1108
"Ryan Lavarnway C  PIT "	11	0	3	2	1	0	0	2	1	3	0	0	0.273	0.385	0.364	1120
"Luke Maile C  TOR"	130	10	19	12	5	0	2	7	3	35	1	0	0.146	0.176	0.231	1213
"Bryan Holaday C  MIA"	29	1	7	5	2	0	0	2	0	1	0	0	0.241	0.241	0.310	1214
"Carlos Perez C  LAA "	20	1	2	1	0	0	1	3	1	6	0	0	0.100	0.143	0.250	1219
"Carson Kelly C  STL"	69	5	12	9	3	0	0	6	5	11	0	0	0.174	0.240	0.217	1220
"Mike Ohlman C  TOR "	13	1	3	3	0	0	0	1	0	3	0	0	0.231	0.231	0.231	1224
"Raudy Read C  WAS "	11	1	3	3	0	0	0	0	0	3	0	0	0.273	0.273	0.273	1228
"Blake Swihart C  BOS "	5	1	1	1	0	0	0	0	2	3	0	0	0.200	0.429	0.200	1239
"Stuart Turner C  CIN"	82	4	11	6	3	0	2	7	5	22	0	0	0.134	0.182	0.244	1245
"Oscar Hernandez C  BOS "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1250
"Alfredo Gonzalez C  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1250
"Trevor Brown C  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1250
"Francisco Mejia C  CLE "	13	1	2	2	0	0	0	1	1	3	0	0	0.154	0.214	0.154	1308
"Anthony Recker C  MIN"	7	1	1	1	0	0	0	0	0	1	0	0	0.143	0.143	0.143	1309
"John Ryan Murphy C  ARI"	7	0	1	0	1	0	0	1	0	1	0	0	0.143	0.143	0.286	1314
"Tony Sanchez C  LAA"	1	0	0	0	0	0	0	0	0	1	0	0	0.000	0.000	0.000	1316
"John Bormann C  PIT"	1	0	0	0	0	0	0	0	0	1	0	0	0.000	0.000	0.000	1316
"Alberto Rosario C  STL "	3	0	0	0	0	0	0	0	0	1	0	0	0.000	0.000	0.000	1327
"Pedro Severino C  WAS "	29	0	5	4	1	0	0	3	2	10	0	0	0.172	0.226	0.207	1331
"Eric Fryer C  PHI "	71	7	11	8	3	0	0	3	11	18	0	0	0.155	0.277	0.197	1336
"Chad Wallach C  MIA"	11	0	1	1	0	0	0	0	0	5	0	0	0.091	0.091	0.091	1360
"Andrew Susac C  BAL "	12	0	1	1	0	0	0	0	0	6	0	0	0.083	0.083	0.083	1364
"A.J. Jimenez C  TEX"	12	0	1	1	0	0	0	0	0	7	0	0	0.083	0.083	0.083	1364
"Chris Stewart C  PIT"	131	8	24	21	1	2	0	4	9	22	0	0	0.183	0.241	0.221	1373
"Luis Torrens C  SD"	123	7	20	16	3	1	0	7	12	30	0	0	0.163	0.243	0.203	1383
"Kyle Higashioka C  NYY"	18	2	0	0	0	0	0	0	2	6	0	0	0.000	0.100	0.000	1390
"Tom Murphy C  COL"	24	1	1	0	1	0	0	1	2	9	0	0	0.042	0.115	0.083	1400
"Tuffy Gosewisch C  SEA "	28	1	2	2	0	0	0	0	1	14	0	0	0.071	0.103	0.071	1411
"Jarrod Saltalamacchia C  TOR"	25	1	1	1	0	0	0	0	1	16	0	0	0.040	0.077	0.040	1414
"Ty Ross C  SF "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ben Carhart C  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jan Vazquez C  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Spencer Kieboom C  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Joe Jackson C  TEX "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Radley Haddad C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ali Solis C  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Kellin Deglan C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Alex Monsalve C  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Dom Nunez C  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Guillermo Quiroz C  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Austin Allen C  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Xavier Fernandez C  KC "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Arturo Rodriguez C  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Adrian Nieto C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Miguel Gonzalez C  DET"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"William Contreras C  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Chase Vallot C  KC "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Kyle Overstreet C  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Chris Okey C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Luis Cruz C  STL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jake Romanski C  BOS "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Micah Gibbs C  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Will Swanner C  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Tomas Morales C  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Alex Murphy C  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Brett Sullivan C  TB"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Steve Bean C  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Miguel Amaya C  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Tyler Heineman C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Taylor Hawkins C  TB"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Kyle Skipworth C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Brett Hayes C  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Alex Lavisky C  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Payton Henry C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Matt Winn C  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ricardo Valenzuela C  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Alex Swim C  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ed Easley C  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jeff Arnold C  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Brian Navarreto C  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Garrett Stubbs C  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Roberto Pena C  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Matt Jones C  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Eliezer Zambrano C  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Santiago Chavez C  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Alberto Mineo C  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Wilmer Dominguez C  TB"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Allan de San Miguel C  KC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Eric Haase C  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Garrett Boulware C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Tyler Ogle C  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Josh Thole C  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Michael Strentz C  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jonathan Schwind C  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Trent Woodward C  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Wyatt Mathisen C  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jonah Heim C  TB "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Bobby Wilson C  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Andrew Knizner C  STL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Zane Evans C  KC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Ryan January C  ARI "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Joe Odom C  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Parker Berberet C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jose Duarte C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Santiago Nessy C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Yohel Pozo C  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Kevin Torres C  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Austin Rei C  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Mayo Acosta C  TB "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jason Hagerty C  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Sam McMillan C  DET"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Grayson Greiner C  DET"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Rene Garcia C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Hank Conger C  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Michael McKenry C  TB "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jin-De Jhang C  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Anthony Bemboom C  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Adam Weisenburger C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Gustavo Polanco C  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Dustin Houle C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jake Henson C  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Deivi Grullon C  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Iker Franco C  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Alex Burg C  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Logan Ice C  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Joe Hudson C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Robinzon Diaz C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jose Felix C  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"A.J. Murray C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Chris Berset C  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Max McDowell C  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Carlos Paulino C  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Beau Taylor C  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Donny Sands C  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jakson Reetz C  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Nick Rickles C  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Gabriel Lino C  STL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
